date,lgd_district_name,lgd_state_name,npi_border,npi_curfew,npi_industry,npi_lockdown,npi_mask,npi_retail,npi_school,npi_surveillance,npi_temple,npi_transport,npi_cu,district,av_npi_cu,npi_cu_scale,av_npi_cu_scale,sdgroup,state
06may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.8095236,.83333331,.85119045,584,andhra pradesh
07may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.7619047,.83333331,.84523809,590,andhra pradesh
08may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.7142854,.83333331,.83928567,596,andhra pradesh
09may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.6666665,.83333331,.83333331,602,andhra pradesh
10may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.6666665,.83333331,.83333331,608,andhra pradesh
11may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.6666665,.83333331,.83333331,614,andhra pradesh
12may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.6666665,.83333331,.83333331,620,andhra pradesh
13may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.6666665,.83333331,.83333331,626,andhra pradesh
14may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.5,.83333331,.8125,632,andhra pradesh
15may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.333333,.83333331,.79166663,638,andhra pradesh
16may2020,anantapur,andhra pradesh,.66666663,1,.5,1,1,.83333331,1,1,1,.66666663,6.6666665,1,6.1666665,.83333331,.77083331,644,andhra pradesh
17may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,6,.6875,.75,650,andhra pradesh
18may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.8333335,.6875,.72916669,656,andhra pradesh
19may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.6666665,.6875,.70833331,662,andhra pradesh
20may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.5,.6875,.6875,668,andhra pradesh
21may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.5,.6875,.6875,674,andhra pradesh
22may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.5,.6875,.6875,680,andhra pradesh
23may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.5,.6875,.6875,686,andhra pradesh
24may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.5,.6875,.6875,692,andhra pradesh
25may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.5,.6875,.6875,698,andhra pradesh
26may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.5,.6875,.6875,704,andhra pradesh
27may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.5,.6875,.6875,710,andhra pradesh
28may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.4285712,.6875,.6785714,716,andhra pradesh
29may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.3571429,.6875,.66964287,722,andhra pradesh
